"Lipid concentrations from crusie KM1513 (SCOPE HOE-Legacy 2); for Becker et al., in prep; concentrations in ng/L; outliers highlighted",,,,,,,,,,,,,,
Time of day ,Day,Timestamp,DGCC,DGTS/DGTS,DGDG,MGDG,PC,PE,PG,SQDG,TAG,PQ,UQ,Chl
22:00,7/28,7/28/15 22:00,19.13,47.70,263.89,111.71,69.73,101.26,254.30,661.15,1865.01,22.89,33.59,148.88
2:00,7/29,7/29/15 2:00,18.67,48.50,214.34,92.81,76.55,108.61,245.17,605.08,1446.06,21.97,35.22,183.00
6:00,7/29,7/29/15 6:00,17.72,47.66,218.16,87.38,84.44,119.04,238.63,614.20,1671.91,18.43,40.85,209.79
10:00,7/29,7/29/15 10:00,16.95,39.71,205.02,88.40,62.54,89.36,219.39,604.91,1152.47,16.31,26.55,156.59
14:00,7/29,7/29/15 14:00,14.60,39.49,233.85,98.17,61.19,89.63,222.98,585.62,1638.85,22.19,25.49,136.49
18:00,7/29,7/29/15 18:00,18.06,48.17,269.43,113.78,66.65,96.23,255.30,627.63,2051.11,23.83,32.97,155.55
22:00,7/29,7/29/15 22:00,16.49,42.74,235.80,105.32,62.09,90.48,232.76,608.26,1580.14,16.61,29.47,137.52
2:00,7/30,7/30/15 2:00,17.30,44.52,225.26,93.11,73.29,104.14,241.86,629.21,1321.62,22.60,35.39,179.06
6:00,7/30,7/30/15 6:00,16.12,41.00,176.54,74.18,63.13,91.41,224.75,572.59,,,32.29,181.18
18:00,7/31,7/31/15 18:00,24.00,51.20,333.23,135.87,75.67,107.21,269.24,750.24,2699.66,25.24,29.71,146.10
22:00,7/31,7/31/15 22:00,28.40,61.56,382.35,156.48,100.22,141.71,308.14,887.04,2656.44,26.81,41.89,172.05
2:00,8/1,8/1/15 2:00,18.39,46.29,226.37,94.07,86.61,121.95,237.10,625.00,1632.04,20.93,38.94,147.30
6:00,8/1,8/1/15 6:00,23.44,48.84,210.61,94.76,91.58,126.54,250.24,701.51,1152.28,22.67,42.94,213.98
10:00,8/1,8/1/15 10:00,17.66,39.88,238.11,98.67,65.67,92.97,213.61,634.53,1438.32,18.53,28.72,163.10
14:00,8/1,8/1/15 14:00,21.73,44.55,316.80,129.73,67.59,94.05,230.93,784.25,2637.08,24.85,24.63,150.04
18:00,8/1,8/1/15 18:00,20.57,42.99,282.32,116.12,72.02,100.66,204.73,642.68,2464.34,21.95,24.59,
22:00,8/1,8/1/15 22:00,19.09,45.32,281.60,118.60,65.93,93.10,239.47,729.39,1920.81,22.92,29.25,165.32
2:00,8/2,8/2/15 2:00,23.28,56.77,312.63,136.95,91.94,131.84,300.49,888.46,2155.54,27.47,42.05,205.77
6:00,8/2,8/2/15 6:00,13.12,,,72.49,66.49,94.38,190.35,552.07,1051.63,19.46,35.19,192.49
10:00,8/2,8/2/15 10:00,25.22,46.48,277.94,118.56,82.97,114.30,236.71,801.40,1611.72,21.41,30.61,185.78
14:00,8/2,8/2/15 14:00,25.47,54.68,330.78,134.75,102.47,155.92,225.54,860.84,2601.62,24.52,37.35,170.01
18:00,8/2,8/2/15 18:00,25.62,50.65,333.07,146.34,80.01,110.63,253.14,808.28,3027.97,26.39,25.00,130.57
22:00,8/2,8/2/15 22:00,24.03,57.37,336.82,147.63,105.63,147.84,300.49,888.35,3083.08,28.87,43.78,181.05
0:00,8/3,8/3/15 0:00,19.02,44.02,206.13,94.36,83.67,117.83,222.16,665.93,1245.16,21.63,39.83,178.53
6:00,8/3,8/3/15 6:00,20.61,42.36,183.14,89.81,100.80,142.30,222.65,629.18,1099.98,20.91,46.37,198.06
10:00,8/3,8/3/15 10:00,21.20,39.55,272.33,122.39,76.42,106.79,212.60,780.27,1489.30,19.62,32.55,195.82
14:00,8/3,8/3/15 14:00,24.27,44.67,336.04,145.40,77.51,107.56,230.48,858.96,2670.25,25.43,30.66,198.98
